[2026-07-27 12:02:45] 準備下載 6 章（3 版本 × 2 卷），間隔 1.00s，gb=0
[2026-07-27 12:02:52] 進度 6/6｜新增 6 跳過 0 失敗 0｜約剩 0 分
[2026-07-27 12:02:53] 完成：新增 6、跳過 0、失敗 0（共 6）
[2026-07-27 12:03:40] 準備下載 3567 章（3 版本 × 66 卷），間隔 1.50s，gb=0
[2026-07-27 13:02:38] 進度 2103/3567｜新增 2100 跳過 3 失敗 0｜約剩 37 分
[2026-07-27 13:03:24] 進度 2128/3567｜新增 2125 跳過 3 失敗 0｜約剩 36 分
[2026-07-27 13:04:11] 進度 2153/3567｜新增 2150 跳過 3 失敗 0｜約剩 35 分
[2026-07-27 13:04:57] 進度 2178/3567｜新增 2175 跳過 3 失敗 0｜約剩 35 分
[2026-07-27 13:05:41] 進度 2203/3567｜新增 2200 跳過 3 失敗 0｜約剩 34 分
[2026-07-27 13:06:21] 進度 2228/3567｜新增 2225 跳過 3 失敗 0｜約剩 33 分
[2026-07-27 13:07:01] 進度 2253/3567｜新增 2250 跳過 3 失敗 0｜約剩 33 分
[2026-07-27 13:07:41] 進度 2278/3567｜新增 2275 跳過 3 失敗 0｜約剩 32 分
[2026-07-27 13:08:21] 進度 2303/3567｜新增 2300 跳過 3 失敗 0｜約剩 32 分
[2026-07-27 13:09:01] 進度 2328/3567｜新增 2325 跳過 3 失敗 0｜約剩 31 分
[2026-07-27 13:09:41] 進度 2353/3567｜新增 2350 跳過 3 失敗 0｜約剩 30 分
[2026-07-27 13:10:21] 進度 2379/3567｜新增 2375 跳過 4 失敗 0｜約剩 30 分
[2026-07-27 13:11:07] 進度 2404/3567｜新增 2400 跳過 4 失敗 0｜約剩 29 分
[2026-07-27 13:11:53] 進度 2429/3567｜新增 2425 跳過 4 失敗 0｜約剩 28 分
[2026-07-27 13:12:39] 進度 2454/3567｜新增 2450 跳過 4 失敗 0｜約剩 28 分
[2026-07-27 13:13:25] 進度 2479/3567｜新增 2475 跳過 4 失敗 0｜約剩 27 分
[2026-07-27 13:14:11] 進度 2504/3567｜新增 2500 跳過 4 失敗 0｜約剩 27 分
[2026-07-27 13:14:57] 進度 2529/3567｜新增 2525 跳過 4 失敗 0｜約剩 26 分
[2026-07-27 13:15:42] 進度 2554/3567｜新增 2550 跳過 4 失敗 0｜約剩 25 分
[2026-07-27 13:16:28] 進度 2579/3567｜新增 2575 跳過 4 失敗 0｜約剩 25 分
[2026-07-27 13:17:13] 進度 2604/3567｜新增 2600 跳過 4 失敗 0｜約剩 24 分
[2026-07-27 13:17:59] 進度 2629/3567｜新增 2625 跳過 4 失敗 0｜約剩 23 分
[2026-07-27 13:18:45] 進度 2654/3567｜新增 2650 跳過 4 失敗 0｜約剩 23 分
[2026-07-27 13:19:30] 進度 2679/3567｜新增 2675 跳過 4 失敗 0｜約剩 22 分
[2026-07-27 13:20:16] 進度 2704/3567｜新增 2700 跳過 4 失敗 0｜約剩 22 分
[2026-07-27 13:21:02] 進度 2729/3567｜新增 2725 跳過 4 失敗 0｜約剩 21 分
[2026-07-27 13:21:47] 進度 2754/3567｜新增 2750 跳過 4 失敗 0｜約剩 20 分
[2026-07-27 13:22:33] 進度 2779/3567｜新增 2775 跳過 4 失敗 0｜約剩 20 分
[2026-07-27 13:23:18] 進度 2804/3567｜新增 2800 跳過 4 失敗 0｜約剩 19 分
[2026-07-27 13:24:04] 進度 2829/3567｜新增 2825 跳過 4 失敗 0｜約剩 18 分
[2026-07-27 13:24:50] 進度 2854/3567｜新增 2850 跳過 4 失敗 0｜約剩 18 分
[2026-07-27 13:25:35] 進度 2879/3567｜新增 2875 跳過 4 失敗 0｜約剩 17 分
[2026-07-27 13:26:21] 進度 2904/3567｜新增 2900 跳過 4 失敗 0｜約剩 17 分
[2026-07-27 13:27:06] 進度 2929/3567｜新增 2925 跳過 4 失敗 0｜約剩 16 分
[2026-07-27 13:27:52] 進度 2954/3567｜新增 2950 跳過 4 失敗 0｜約剩 15 分
[2026-07-27 13:28:37] 進度 2979/3567｜新增 2975 跳過 4 失敗 0｜約剩 15 分
[2026-07-27 13:29:23] 進度 3004/3567｜新增 3000 跳過 4 失敗 0｜約剩 14 分
[2026-07-27 13:30:09] 進度 3029/3567｜新增 3025 跳過 4 失敗 0｜約剩 13 分
[2026-07-27 13:30:54] 進度 3054/3567｜新增 3050 跳過 4 失敗 0｜約剩 13 分
[2026-07-27 13:31:40] 進度 3079/3567｜新增 3075 跳過 4 失敗 0｜約剩 12 分
[2026-07-27 13:32:25] 進度 3104/3567｜新增 3100 跳過 4 失敗 0｜約剩 12 分
[2026-07-27 13:33:10] 進度 3129/3567｜新增 3125 跳過 4 失敗 0｜約剩 11 分
[2026-07-27 13:33:56] 進度 3154/3567｜新增 3150 跳過 4 失敗 0｜約剩 10 分
[2026-07-27 13:34:41] 進度 3179/3567｜新增 3175 跳過 4 失敗 0｜約剩 10 分
[2026-07-27 13:35:27] 進度 3204/3567｜新增 3200 跳過 4 失敗 0｜約剩 9 分
[2026-07-27 13:36:12] 進度 3229/3567｜新增 3225 跳過 4 失敗 0｜約剩 8 分
[2026-07-27 13:36:58] 進度 3254/3567｜新增 3250 跳過 4 失敗 0｜約剩 8 分
[2026-07-27 13:37:43] 進度 3280/3567｜新增 3275 跳過 5 失敗 0｜約剩 7 分
[2026-07-27 13:38:29] 進度 3305/3567｜新增 3300 跳過 5 失敗 0｜約剩 7 分
[2026-07-27 13:39:14] 進度 3330/3567｜新增 3325 跳過 5 失敗 0｜約剩 6 分
[2026-07-27 13:40:00] 進度 3355/3567｜新增 3350 跳過 5 失敗 0｜約剩 5 分
[2026-07-27 13:40:45] 進度 3380/3567｜新增 3375 跳過 5 失敗 0｜約剩 5 分
[2026-07-27 13:41:31] 進度 3405/3567｜新增 3400 跳過 5 失敗 0｜約剩 4 分
[2026-07-27 13:42:17] 進度 3430/3567｜新增 3425 跳過 5 失敗 0｜約剩 3 分
[2026-07-27 13:43:02] 進度 3455/3567｜新增 3450 跳過 5 失敗 0｜約剩 3 分
[2026-07-27 13:43:48] 進度 3480/3567｜新增 3475 跳過 5 失敗 0｜約剩 2 分
[2026-07-27 13:44:33] 進度 3505/3567｜新增 3500 跳過 5 失敗 0｜約剩 2 分
[2026-07-27 13:45:19] 進度 3530/3567｜新增 3525 跳過 5 失敗 0｜約剩 1 分
[2026-07-27 13:46:05] 進度 3556/3567｜新增 3550 跳過 6 失敗 0｜約剩 0 分
[2026-07-27 13:46:25] 進度 3567/3567｜新增 3561 跳過 6 失敗 0｜約剩 0 分
[2026-07-27 13:46:26] 完成：新增 3561、跳過 6、失敗 0（共 3567）
[2026-07-29 09:53:09] 準備下載 1189 章（1 版本 × 66 卷），間隔 1.50s，gb=0
[2026-07-29 09:53:25] 準備下載 1189 章（1 版本 × 66 卷），間隔 0.10s，gb=0
[2026-07-29 09:53:36] 進度 33/1189｜新增 25 跳過 8 失敗 0｜約剩 2 分
[2026-07-29 09:53:47] 進度 58/1189｜新增 50 跳過 8 失敗 0｜約剩 2 分
[2026-07-29 09:53:57] 進度 83/1189｜新增 75 跳過 8 失敗 0｜約剩 2 分
[2026-07-29 09:54:07] 進度 108/1189｜新增 100 跳過 8 失敗 0｜約剩 2 分
[2026-07-29 09:54:18] 進度 133/1189｜新增 125 跳過 8 失敗 0｜約剩 2 分
[2026-07-29 09:54:28] 進度 158/1189｜新增 150 跳過 8 失敗 0｜約剩 2 分
[2026-07-29 09:54:39] 進度 183/1189｜新增 175 跳過 8 失敗 0｜約剩 2 分
[2026-07-29 09:54:49] 進度 208/1189｜新增 200 跳過 8 失敗 0｜約剩 2 分
[2026-07-29 09:55:00] 進度 233/1189｜新增 225 跳過 8 失敗 0｜約剩 2 分
[2026-07-29 09:55:10] 進度 258/1189｜新增 250 跳過 8 失敗 0｜約剩 2 分
[2026-07-29 09:55:21] 進度 283/1189｜新增 275 跳過 8 失敗 0｜約剩 2 分
[2026-07-29 09:55:28] 準備下載 628 章（1 版本 × 19 卷），間隔 0.05s，gb=0
[2026-07-29 09:55:35] 準備下載 301 章（1 版本 × 20 卷），間隔 0.05s，gb=0
[2026-07-29 09:55:38] 進度 312/628｜新增 25 跳過 287 失敗 0｜約剩 0 分
[2026-07-29 09:55:42] 準備下載 190 章（1 版本 × 14 卷），間隔 0.05s，gb=0
[2026-07-29 09:55:43] 進度 25/301｜新增 25 跳過 0 失敗 0｜約剩 0 分
[2026-07-29 09:55:47] 進度 337/628｜新增 50 跳過 287 失敗 0｜約剩 0 分
[2026-07-29 09:55:48] 準備下載 70 章（1 版本 × 13 卷），間隔 0.05s，gb=0
[2026-07-29 09:55:51] 進度 25/190｜新增 25 跳過 0 失敗 0｜約剩 0 分
[2026-07-29 09:55:52] 進度 50/301｜新增 50 跳過 0 失敗 0｜約剩 0 分
[2026-07-29 09:55:55] 進度 362/628｜新增 75 跳過 287 失敗 0｜約剩 0 分
[2026-07-29 09:55:57] 進度 25/70｜新增 25 跳過 0 失敗 0｜約剩 0 分
[2026-07-29 09:56:00] 進度 50/190｜新增 50 跳過 0 失敗 0｜約剩 0 分
[2026-07-29 09:56:01] 進度 75/301｜新增 75 跳過 0 失敗 0｜約剩 0 分
[2026-07-29 09:56:04] 進度 387/628｜新增 100 跳過 287 失敗 0｜約剩 0 分
[2026-07-29 09:56:06] 進度 50/70｜新增 50 跳過 0 失敗 0｜約剩 0 分
[2026-07-29 09:56:09] 進度 75/190｜新增 75 跳過 0 失敗 0｜約剩 0 分
[2026-07-29 09:56:10] 進度 100/301｜新增 100 跳過 0 失敗 0｜約剩 0 分
[2026-07-29 09:56:13] 進度 70/70｜新增 70 跳過 0 失敗 0｜約剩 0 分
[2026-07-29 09:56:13] 完成：新增 70、跳過 0、失敗 0（共 70）
[2026-07-29 09:56:14] 進度 412/628｜新增 125 跳過 287 失敗 0｜約剩 0 分
[2026-07-29 09:56:18] 進度 125/301｜新增 125 跳過 0 失敗 0｜約剩 0 分
[2026-07-29 09:56:19] 進度 100/190｜新增 100 跳過 0 失敗 0｜約剩 0 分
[2026-07-29 09:56:23] 進度 437/628｜新增 150 跳過 287 失敗 0｜約剩 0 分
